Country;League;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Number of Points - INTERVAL;Winning Margin
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Uc Irvine;77;84;Oregon;;190;-238;Away;161;161 | 170;6 to 10
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Loyola Marymount;54;65;Notre Dame;;2000;-5000;Away;119;111 | 120;11 to 15
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Portland;77;58;Yale;;-1000;600;Home;135;131 | 140;16 to 20
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Uc Santa Barbara;67;84;North Carolina;;1400;-2500;Away;151;151 | 160;16 to 20
USA;NCAAB 2008/2009;22/11/2008;Regular Season;New Mexico State;90;66;Pepperdine;;-2000;1000;Home;156;151 | 160;21 to 25
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Middle Tenn. St.;66;76;Tennessee;;450;-588;Away;142;141 | 150;6 to 10
USA;NCAAB 2008/2009;22/11/2008;Regular Season;Pittsburgh;86;67;Akron;;-5000;1600;Home;153;151 | 160;16 to 20
USA;NCAAB 2008/2009;22/11/2008;Regular Season;St. Bonaventure;81;85;Delaware;;-164;145;Away;166;161 | 170;1 to 5
USA;NCAAB 2008/2009;21/11/2008;Regular Season;Southern Miss;60;70;Miami (Fl);;250;-303;Away;130;121 | 130;6 to 10
USA;NCAAB 2008/2009;21/11/2008;Regular Season;Washington;74;51;Florida International;;-2500;1200;Home;125;121 | 130;21 to 25
USA;NCAAB 2008/2009;27/11/2008;Regular Season;Stanford;76;57;Air Force;;-3333;1200;Home;133;131 | 140;16 to 20
USA;NCAAB 2008/2009;27/11/2008;Regular Season;South Alabama;77;79;Arkansas;;-189;165;Away;156;151 | 160;1 to 5
USA;NCAAB 2008/2009;27/11/2008;Regular Season;Depaul;71;62;Detroit;;-1250;800;Home;133;131 | 140;6 to 10
USA;NCAAB 2008/2009;27/11/2008;Regular Season;Western Kentucky;79;70;Southern Illinois;;110;-130;Home;149;141 | 150;6 to 10
USA;NCAAB 2008/2009;27/11/2008;Regular Season;Fordham;61;73;Princeton;;-208;175;Away;134;131 | 140;11 to 15
USA;NCAAB 2008/2009;26/11/2008;Regular Season;Nebraska;71;57;St. Louis Billikens;;-588;400;Home;128;121 | 130;11 to 15
USA;NCAAB 2008/2009;26/11/2008;Regular Season;East Carolina;93;90;Vcu Rams;OT;300;-400;Draw;183;181 | 190;1 to 5
USA;NCAAB 2008/2009;26/11/2008;Regular Season;St. Bonaventure;71;76;Mississippi St.;;220;-263;Away;147;141 | 150;1 to 5
USA;NCAAB 2008/2009;25/11/2008;Regular Season;Oregon State;52;53;Yale;;-500;400;Away;105;101 | 110;1 to 5
USA;NCAAB 2008/2009;25/11/2008;Regular Season;San Francisco;73;72;Uc Santa Barbara;;-159;140;Home;145;141 | 150;1 to 5
USA;NCAAB 2008/2009;25/11/2008;Regular Season;New Mexico;85;74;Cs Northridge;;-1429;800;Home;159;151 | 160;11 to 15
USA;NCAAB 2008/2009;25/11/2008;Regular Season;Ohio State;61;57;Bowling Green;;-1000;700;Home;118;111 | 120;1 to 5
USA;NCAAB 2008/2009;25/11/2008;Regular Season;Vanderbilt;65;57;Middle Tenn. St.;;-500;350;Home;122;121 | 130;6 to 10
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Uc Davis;72;75;Portland;;-130;104;Away;147;141 | 150;1 to 5
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Kent State;83;64;Nc Wilmington;;-1667;1000;Home;147;141 | 150;16 to 20
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Indiana State;69;80;North Texas;;-154;135;Away;149;141 | 150;11 to 15
USA;NCAAB 2008/2009;23/11/2008;Regular Season;Rutgers;63;64;St. Bonaventure;OT;-500;350;Draw;127;121 | 130;1 to 5
