,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nfl.g.20250907002,2025-09-07-07:00,Baltimore,Buffalo,"-1.5, O/U 51.5",45.5,15.59,9.28,-200.0,1.500,True,45.5,84.41,90.72,154.0,2.540,False,-125.0,1.800,88.75,54.88,False,105.0,2.050,11.25,45.12,True,-1.5,-110.0,1.910,51.78,46.7,False,1.5,-110.0,1.910,48.22,53.3,True
0,nfl.g.20250907005,2025-09-07-07:00,Cincinnati,Cleveland,"-4.5, O/U 48",48,14.07,9.3,-105.0,1.950,False,48,85.93,90.7,-115.0,1.870,True,-235.0,1.420,97.38,93.72,True,195.0,2.950,2.62,6.28,False,-4.5,-115.0,1.870,61.2,65.69,False,4.5,-105.0,1.950,38.8,34.31,True
0,nfl.g.20250907007,2025-09-07-07:00,Tennessee,Denver,"-8.5, O/U 42.5",42.5,34.12,23.23,-110.0,1.910,False,42.5,65.88,76.77,-110.0,1.910,True,360.0,4.600,5.72,3.86,False,-475.0,1.210,94.28,96.14,True,8.5,-110.0,1.910,39.85,56.01,True,-8.5,-110.0,1.910,60.15,43.99,False
0,nfl.g.20250907009,2025-09-07-07:00,Detroit,Green Bay,"-1.5, O/U 48",48,29.75,11.83,-110.0,1.910,False,48,70.25,88.17,-110.0,1.910,True,100.0,2.000,70.46,43.63,False,-120.0,1.830,29.54,56.37,True,1.5,-110.0,1.910,94.38,91.25,False,-1.5,-110.0,1.910,5.62,8.75,True
0,nfl.g.20250907011,2025-09-07-07:00,Miami,Indianapolis,"-1, O/U 47",47,19.48,13.73,-110.0,1.910,False,47,80.52,86.27,-110.0,1.910,True,100.0,2.000,69.06,55.07,False,-120.0,1.830,30.94,44.93,True,1,-110.0,1.910,89.0,79.1,False,-1,-110.0,1.910,11.0,20.9,True
0,nfl.g.20250907014,2025-09-07-07:00,Houston,LA Rams,"-3, O/U 43.5",43.5,24.06,20.08,-110.0,1.910,False,43.5,75.94,79.92,-110.0,1.910,True,140.0,2.400,22.09,17.15,False,-165.0,1.600,77.91,82.85,True,3,-105.0,1.950,67.07,72.77,False,-3,-115.0,1.870,32.93,27.23,True
0,nfl.g.20250907017,2025-09-07-07:00,Las Vegas,New England,"-2.5, O/U 44",44,31.73,23.46,-110.0,1.910,False,44,68.27,76.54,-110.0,1.910,True,125.0,2.250,43.67,24.8,True,-150.0,1.670,56.33,75.2,False,2.5,-105.0,1.950,83.76,85.75,True,-2.5,-115.0,1.870,16.24,14.25,False
0,nfl.g.20250907018,2025-09-07-07:00,Arizona,New Orleans,"-6.5, O/U 44.5",44.5,32.19,21.93,-105.0,1.950,False,44.5,67.81,78.07,-115.0,1.870,True,-300.0,1.330,93.55,92.96,True,240.0,3.400,6.45,7.04,False,-6.5,-105.0,1.950,28.78,37.07,True,6.5,-115.0,1.870,71.22,62.93,False
0,nfl.g.20250907020,2025-09-07-07:00,Pittsburgh,NY Jets,"-3, O/U 38",38,28.6,37.49,-110.0,1.910,True,38,71.4,62.51,-110.0,1.910,False,-160.0,1.620,99.05,85.48,True,135.0,2.350,0.95,14.52,False,-3,-110.0,1.910,54.18,51.72,False,3,-110.0,1.910,45.82,48.28,True
0,nfl.g.20250907026,2025-09-07-07:00,San Francisco,Seattle,"-1.5, O/U 43.5",43.5,16.05,17.35,-110.0,1.910,False,43.5,83.95,82.65,-110.0,1.910,True,-125.0,1.800,74.54,79.08,True,105.0,2.050,25.46,20.92,False,-1.5,-110.0,1.910,34.05,33.33,True,1.5,-110.0,1.910,65.95,66.67,False
0,nfl.g.20250907028,2025-09-07-07:00,NY Giants,Washington,"-6, O/U 45.5",45.5,24.17,18.7,-110.0,1.910,False,45.5,75.83,81.3,-110.0,1.910,True,225.0,3.250,8.71,7.69,False,-275.0,1.360,91.29,92.31,True,6,-110.0,1.910,68.48,69.19,False,-6,-110.0,1.910,31.52,30.81,True
